batch_id	unit_id	description	link	connector	primary_band	scan_range_mhz	res_freq_mhz	swr_at_res	spot1_freq_mhz	spot1_swr	spot2_freq_mhz	spot2_swr	spot3_freq_mhz	spot3_swr	overall_status	notes
Seeed-114993587	Seeed-114993587-01	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2412.5	1.631	2400	1.646	2450	1.765	2484	1.795	Good	Worst in-band SWR: 1.799.
Seeed-114993587	Seeed-114993587-01	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5151.0	1.257	5150	1.257	5500	2.097	5850	1.565	Good	Worst in-band SWR: 2.117.
Seeed-114993587	Seeed-114993587-02	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2499.5	1.788	2400	2.071	2450	2.022	2484	1.864	Good	Worst in-band SWR: 2.107.
Seeed-114993587	Seeed-114993587-02	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	0-6000	5151.0	1.242	5150	1.242	5500	2.062	5850	1.736	Good	Worst in-band SWR: 2.197.
Seeed-114993587	Seeed-114993587-03	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2402.8	1.481	2400	1.483	2450	1.678	2484	1.801	Good	Worst in-band SWR: 1.838.
Seeed-114993587	Seeed-114993587-03	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5151.0	1.282	5150	1.282	5500	1.825	5850	1.575	Good	Worst in-band SWR: 1.935.
Seeed-114993587	Seeed-114993587-04	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2400.5	1.714	2400	1.711	2450	1.952	2484	1.964	Good	Worst in-band SWR: 1.969.
Seeed-114993587	Seeed-114993587-04	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5151.0	1.255	5150	1.255	5500	1.751	5850	1.47	Good	Worst in-band SWR: 1.828.
Seeed-114993587	Seeed-114993587-05	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2400.5	1.793	2400	1.779	2450	1.984	2484	1.939	Good	Worst in-band SWR: 1.997.
Seeed-114993587	Seeed-114993587-05	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5154.0	1.291	5150	1.292	5500	1.935	5850	1.495	Good	Worst in-band SWR: 2.031.
